Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_0805",118.610380,-104.543860,0.000000,top
"C2","100n","C_0805",118.407180,-98.097340,0.000000,top
"C3","100n","C_0805",111.353600,-102.870000,180.000000,top
"C4","100n","C_0805",105.257600,-92.405200,0.000000,top
"C5","100n","C_0805",105.206800,-102.514400,0.000000,top
"D1","BAT54S","SOT-23",124.851160,-104.988360,90.000000,top
"R1","470000","R_1206",124.851160,-98.585020,180.000000,top
"R2","12000","R_1206",124.851160,-95.841820,0.000000,top
"R3","10K","R_0805",124.858780,-102.196900,180.000000,top
"R4","2.2K","R_0805",111.455200,-94.234000,180.000000,top
"R5","2.2K","R_0805",111.353600,-100.457000,180.000000,top
"R6","DNP","R_0805",105.130600,-105.105200,180.000000,top
"R7","DNP","R_0805",105.130600,-107.518200,180.000000,top
"U1","MCP601-xOT","SOT-23-5",118.407180,-101.196140,0.000000,top
"U2","MCP3221","SOT-23-5",111.429800,-97.205800,180.000000,top
"U3","ISO154x","SOIC-8_3.9x4.9mm_P1.27mm",105.232200,-97.358200,90.000000,top
